"","DAKAR","DIOURBEL","FATICK","KAFFRINE","KAOLACK","KEDOUGOU","KOLDA","LOUGA","MATAM","SAINT_LOUIS","SEDHIOU","TAMBACOUNDA","THIES","ZIGUINCHOR"
"DAKAR",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DIOURBEL",0,0,0.25,0.25,0,0,0,0.25,0,0,0,0,0.25,0
"FATICK",0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0
"KAFFRINE",0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0,0
"KAOLACK",0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
"KEDOUGOU",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"KOLDA",0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
"LOUGA",0,0.2,0,0.2,0,0,0,0,0.2,0.2,0,0,0.2,0
"MATAM",0,0,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0,0
"SAINT_LOUIS",0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
"SEDHIOU",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5
"TAMBACOUNDA",0,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0,0,0
"THIES",0.25,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0,0
"ZIGUINCHOR",0,0,0,0,0,0,0,0,0,0,1,0,0,0
