"com","calls_ratio_var","sms_ratio_var","vol_ratio_var","calls_entropy","sms_entropy","sms2calls_ratio","calls_isolation","sms_isolation","og_calls_work_ratio","og_sms_work_ratio","og_vol_work_ratio","ic_calls_work_ratio","ic_sms_work_ratio","ic_vol_work_ratio","og_calls_peak_ratio","og_sms_peak_ratio","og_vol_peak_ratio","ic_calls_peak_ratio","ic_sms_peak_ratio","ic_vol_peak_ratio","og_calls_week_ratio","og_sms_week_ratio","og_vol_week_ratio","ic_calls_week_ratio","ic_sms_week_ratio","ic_vol_week_ratio","dist2d","calls_dist_mean","sms_dist_mean","calls2d_ratio","sms2d_ratio","calls_ratio","sms_ratio","vol_ratio"
1,0.0546505927341119,0.0200869408257204,0.00138886524208003,7.71803307120499,7.06678736080084,1.15243204564978,1608,1594,0.0415400988327852,0.0374293344589923,0.000961409010651357,0.0156747124876571,0.0195943888014553,0.000823853515321094,1.69370903839745,0.941979857528863,1.59405746091512,1.59316347207919,0.825713498285154,1.66195789094835,0.27647445919381,0.295500236875637,0.286567362889688,0.288033091713608,0.297683098153532,0.291691379853174,21.5424004851845,39.1061367980864,26.4249291121998,0.173734554326662,0.319292954986759,0.911198084070881,0.858651548773424,0.967602909298516
2,0.0224289843234305,0.00843183143361054,0.00104185408463331,7.22435517156222,6.78489480072187,0.514176903546077,1608,1603,0.0126287274854438,0.0326922327887874,0.00223781968809232,0.0106733083764672,0.0196187692233359,0.00120116791531358,1.90615467432263,0.890821877335373,1.59746879943751,1.96185996574555,0.89077815917053,2.38424079754601,0.277424717198777,0.300810220612333,0.292525312255197,0.285223642850706,0.299863616998951,0.288453349384774,32.0498869575056,35.6285251782572,25.4024929957789,0.156187879715134,0.312894480815048,1.02578248993974,0.837931944703218,0.978053653491568
3,0.252771341169967,0.0363797457229957,0.00111615868948406,7.04286874571594,6.93251847275486,1.08590743129117,1609,1596,0.0382783418194265,0.0333406482425341,0.000706552584199515,0.0196724144081111,0.041017839405004,0.000612212495334631,1.26497130274699,0.849498390709405,1.76786009363812,1.22819933074071,0.771365535021505,1.73806224014111,0.224852435702308,0.307461477058827,0.287913075339359,0.271605595129491,0.300783293181149,0.287794879278815,21.0021642011229,36.0900835148996,26.9657025033082,0.160402094720786,0.305620829925198,0.756949148942063,0.802113202974375,0.981006101430086
4,1.21308464656104,0.601239729713693,0.0533614036426398,6.61304792315065,7.3390272451492,1.39099472563769,1592,1443,0.189195214947281,0.0634421133552648,0.00376741548265712,0.0452020097665973,0.298610332107886,0.00706534736824429,0.578368203012115,1.69615994796008,3.47166471422664,1.13329975083839,0.878645321357751,1.95966541248583,0.382116005644382,0.281615082228858,0.283661993353864,0.285895639204404,0.320864232032604,0.277589298716872,43.122068852685,49.0539898274057,63.1055002898577,0.0824049482597412,0.379631254309843,0.859421384328048,1.11513641821376,0.885373171741227
5,0.0909104905927646,0.0980098698973916,0.302642302705778,7.30711175455434,8.16995979365092,0.688100561762634,1606.5,1590.5,0.0326049423004773,0.0165721742411727,0.00399663960621535,0.0444597683080747,0.0114222292773316,0.0042227605881157,0.229963024852032,2.95450280157309,0.997584230305018,0.437057266689347,1.95701566348442,0.950169169598402,0.30122912667616,0.300925767286216,0.304026948924595,0.302201319930947,0.289851462873227,0.300720850722992,44.0378218991435,39.0648951083044,43.5869889543656,0.157586410848563,0.366082595993603,1.59504120377419,0.880997705745282,1.02893185269913
6,0.00202406576639654,0.189875274990508,0.00133635222689754,7.90617447847802,8.13501705436966,0.454411263722395,1607,1599,0.00585008856881794,0.0196767736953578,0.00292668553751136,0.00560513309459824,0.0307531864521106,0.00352236400284471,2.23441396508728,1.02957672421348,0.801161988645408,2.67220963756178,0.659983074018619,0.901978928080623,0.264123809255757,0.276748192536855,0.270383787033939,0.27597170228012,0.30520759471926,0.28277331914945,41.7115772106681,40.6156363193342,43.7041720844979,0.156851105006973,0.353314684016263,1.14452324430794,0.970421632757833,0.976063975667248
7,0.00942297915729485,0.210520804135639,0.108882108355391,7.43418487696075,7.29110160475119,0.594991880833103,1598,1570,0.0284576527953485,0.0139185790449121,0.00391258457832122,0.0331914965788923,0.0139402277998538,0.00386449078131242,0.841806570708709,0.963287398070007,1.12842459684565,1.08516371125876,1.51382806407103,1.06881129271917,0.298054315353759,0.279660175194344,0.271379824990832,0.296716141013958,0.304601379629608,0.291271776279961,62.2087235343325,39.4316904123985,47.0173117904333,0.15614590928034,0.297781481384493,1.30791431426694,1.00519375557173,0.933182623891809
8,0.170587893355509,0.0429765967442338,1.50649962653039,8.01051064448736,7.23132658539822,1.11801486708221,1602.5,1573,0.0538007379265415,0.0429896950457784,0.00112186985682959,0.0314316347971337,0.0236961862529951,0.00285363230456268,1.02878497646611,0.638522877754488,1.56706454128392,1.05908793147072,3.31368039249578,1.24807000249951,0.284586559067956,0.294217354026989,0.277046352640854,0.26967246727936,0.288645860507913,0.296921414621918,72.1451280236945,50.9805991734518,57.7337903279544,0.133086309492786,0.26212657865746,0.770347154934644,0.697051505150224,1.22008311148747
9,0.0370576890832042,0.154409609406894,0.218794139189755,8.21230065127433,7.92070782897785,0.513200284764214,1600.5,1571,0.0150538701836217,0.0177394918861166,0.00427815064446063,0.0370975083840995,0.0262235272714914,0.00444152256129849,3.28976779468117,2.54393881969653,0.84446504459504,0.267380343034524,0.960183747024594,0.76910525983078,0.298644385965073,0.269091956825263,0.317563620309375,0.309302408512668,0.277330466372632,0.301089430382737,52.5529569197252,49.128553178828,47.9099965667323,0.207917036038033,0.337468145704876,1.5714124301775,0.987319870648808,0.910375443523566
10,0.439672279674324,0.378633561471486,0.833653332706959,7.69212002688475,7.37205739812478,0.675386740147572,1588,1483,0.0155905852888339,0.0197851494100419,0.00559908849931213,0.0489859572065079,0.0410770945082621,0.00984198205447939,2.66588472957485,2.22481971281047,0.778699090760623,7.52013118023032,1.073390756412,0.482218728652398,0.276853200424501,0.285696477983067,0.283030595886446,0.29576699928925,0.28157917469446,0.283785831295528,59.3147600481825,59.2820065646787,50.8804021678993,0.150755184230995,0.221633060793614,1.43953443936954,0.895254328817668,1.24625203988575
