"","lon","lat"
"DAKAR",-17.2635783137907,14.7544754662378
"DIOURBEL",-16.1206117512217,14.7809623497539
"FATICK",-16.3467182860372,14.1569451255894
"KAFFRINE",-15.1857204018816,14.2190900165304
"KAOLACK",-15.9326011094595,13.9710221081278
"KEDOUGOU",-12.1949130877721,12.8434187547172
"KOLDA",-14.4166243100387,13.0301929897752
"LOUGA",-15.5414538491757,15.4265313475016
"MATAM",-13.7275830022747,15.1433586014824
"SAINT_LOUIS",-15.0005425053687,16.1755746294097
"SEDHIOU",-15.5869117146491,12.8932389930505
"TAMBACOUNDA",-13.2250809546868,13.8919791889335
"THIES",-16.7543182557963,14.8318720781527
"ZIGUINCHOR",-16.3739629494073,12.7792725738106
