MAP_ID,sim_count_best,calls_ratio,sms_ratio,vol_ratio,active_days__allweek__allday__callandtext,number_of_contacts__allweek__allday__text,number_of_contacts__allweek__allday__call,call_duration__allweek__allday__call__std,call_duration__allweek__allday__call__mean,percent_nocturnal__allweek__allday__text,percent_nocturnal__allweek__allday__call,percent_initiated_conversations__allweek__allday__callandtext,percent_initiated_interactions__allweek__allday__call,response_delay_text__allweek__allday__callandtext__std,response_delay_text__allweek__allday__callandtext__mean,response_rate_text__allweek__allday__callandtext,entropy_of_contacts__allweek__allday__text,entropy_of_contacts__allweek__allday__call,balance_of_contacts__allweek__allday__text__std,balance_of_contacts__allweek__allday__text__mean,balance_of_contacts__allweek__allday__call__std,balance_of_contacts__allweek__allday__call__mean,interactions_per_contact__allweek__allday__text__std,interactions_per_contact__allweek__allday__text__mean,interactions_per_contact__allweek__allday__call__std,interactions_per_contact__allweek__allday__call__mean,interevent_time__allweek__allday__text__std,interevent_time__allweek__allday__text__mean,interevent_time__allweek__allday__call__std,interevent_time__allweek__allday__call__mean,percent_pareto_interactions__allweek__allday__text,percent_pareto_interactions__allweek__allday__call,percent_pareto_durations__allweek__allday__call,number_of_interactions__allweek__allday__text,number_of_interactions__allweek__allday__call,number_of_interaction_in__allweek__allday__text,number_of_interaction_in__allweek__allday__call,number_of_interaction_out__allweek__allday__text,number_of_interaction_out__allweek__allday__call,number_of_antennas__allweek__allday,entropy_of_antennas__allweek__allday,percent_at_home__allweek__allday,radius_of_gyration__allweek__allday,frequent_antennas__allweek__allday,churn_rate__std,churn_rate__mean,calls_ratio_var,sms_ratio_var,vol_ratio_var,calls_entropy,sms_entropy,sms2calls_ratio,calls_isolation,sms_isolation,og_calls_work_ratio,og_sms_work_ratio,og_vol_work_ratio,ic_calls_work_ratio,ic_sms_work_ratio,ic_vol_work_ratio,og_calls_peak_ratio,og_sms_peak_ratio,og_vol_peak_ratio,ic_calls_peak_ratio,ic_sms_peak_ratio,ic_vol_peak_ratio,og_calls_week_ratio,og_sms_week_ratio,og_vol_week_ratio,ic_calls_week_ratio,ic_sms_week_ratio,ic_vol_week_ratio,dist2d,calls_dist_mean,sms_dist_mean,calls2d_ratio,sms2d_ratio
0,66433.44660356508,0.9942869619105872,0.8789870602998822,1.0283596217612982,27.418620712574636,76.15508079697965,28.5996509570337,125.48948398985517,70.14614905011501,0.37214918077773496,0.3956567645811191,0.27238121936281595,0.535891622401207,208.7545685618658,200.84039864352476,0.12833147539790296,3.327360465771911,1.8710880223087376,0.021872090177562323,0.014143101814672394,0.029630333754638055,0.03373208066785658,8.095677206136225,4.380683163165379,24.188963108347828,9.000831354292716,32044.098691687464,17266.353708238283,98589.17040738028,102971.7209870665,0.12454472491239268,0.250025142007904,0.08440313210155156,349.6740743419539,443.79706470350186,156.11782504646686,227.83915503929447,193.55624929548702,215.9579096642077,22.834474002057608,1.4665286145716538,0.5648495959319063,22.571583111802468,4.497912573610467,0.12202925029508709,0.18831411522639968,0.0546505927341119,0.0200869408257204,0.00138886524208003,7.7180330712049905,7.06678736080084,1.15243204564978,1608.0,1592.0,0.0415400988327852,0.0330639352829832,0.0009614090106513571,0.0156747124876571,0.0195943888014553,0.000823853515321094,1.6937090383974498,0.9419798575288629,1.5940574609151204,1.59316347207919,0.894024533842095,1.96950499611253,0.27647445919381,0.287492750646401,0.286567362889688,0.288033091713608,0.297683098153532,0.291072856829445,21.542400485184498,38.9142863239606,26.3051892483068,0.17373455432666196,0.35589489337463903
1,102265.50373322894,0.9753603926150224,0.8359910070923364,0.9916724168377267,27.1921657463636,78.25101529051996,26.953834646023996,118.90163670668066,67.24936433475271,0.3893529093987819,0.3986819341806225,0.26025339073076276,0.5500175262126341,195.095616325825,195.10949061736096,0.11184820847849519,3.3508922257644955,1.8383662310039648,0.02223986912656697,0.014229586613522091,0.029626297222614225,0.03565036047127219,8.143554975473352,4.419630030170211,19.460859403602317,7.7310378691646555,32010.251361648243,17063.954431548715,103997.11191801184,109815.54173481662,0.12389306627750339,0.2680133766130909,0.0842495074149254,361.75837220016496,350.30571890241583,157.4980348857354,180.8412062642442,204.2603373144295,169.4645126381717,20.877001702164144,1.3931126786780088,0.5796360961261215,24.750175113147314,4.269748776245191,0.1111428906996564,0.17282169239654357,0.0224289843234305,0.00843183143361054,0.00104185408463331,7.22435517156222,6.784894800721871,0.514176903546077,1608.0,1601.0,0.0126287274854438,0.0337453392173137,0.00223781968809232,0.0106733083764672,0.0196187692233359,0.0007587808269834991,1.9061546743226299,0.7892525431225121,1.59746879943751,1.96185996574555,0.8907781591705299,2.38424079754601,0.277424717198777,0.30081022061233303,0.292525312255197,0.285223642850706,0.299863616998951,0.285766711333193,29.734436700424,35.628525178257206,24.7769239611599,0.156187879715134,0.312894480815048
2,26660.66760243386,0.8655785078356776,0.8179742564931823,0.9852032112313637,27.218088515500106,76.77324960555079,23.399967260325695,112.74227045766851,64.29576903435137,0.3608958513773716,0.37765363618908177,0.2454462053213481,0.5521266753864285,168.01493029417318,172.8490311762066,0.09951990681691764,3.325389175988448,1.7140703519359952,0.02260698884940889,0.015035813470684282,0.029605305567140274,0.04031605750753384,8.237751433036717,4.518729329725667,18.008993404326983,7.901372772762457,31422.277649516054,16756.301585541216,108968.46119471971,119621.37332883524,0.11795645349655184,0.2874743427932973,0.08242305874004678,366.462431646986,317.3192148492094,159.82790372643564,165.40564234886716,206.63452792055006,151.91357250034267,21.82547298757605,1.341099171609987,0.61108861564726,21.798668767406145,4.138723353580152,0.11510380063432721,0.17388120937698304,0.25277134116996697,0.0363797457229957,0.00111615868948406,7.04286874571594,6.93251847275486,1.08590743129117,1609.0,1596.0,0.0382783418194265,0.0333406482425341,0.0007065525841995151,0.0196724144081111,0.041017839405003996,0.000612212495334631,1.26497130274699,0.8494983907094051,1.76786009363812,1.22819933074071,0.7713655350215051,1.73806224014111,0.224852435702308,0.307461477058827,0.287913075339359,0.271605595129491,0.300783293181149,0.28779487927881503,21.0021642011229,36.090083514899604,26.9657025033082,0.160402094720786,0.305620829925198
3,21286.18236313189,0.4920732463834089,1.4747842424714563,0.9923832408739516,26.6509533512462,74.13805004289443,15.070622032116221,103.76099916292063,59.2524439613797,0.3561992071602571,0.3251512767703697,0.1866321446538139,0.5916115910396345,110.76627389920162,122.48380228739315,0.056906706128701814,3.2931392090893246,1.4150357021673439,0.024812730148655395,0.01717354516696023,0.027232635540440343,0.04321982134428571,8.375588911155166,4.699805742653678,12.25519853885526,6.682529479451581,33003.939208232616,17128.339740963696,126169.90722077331,145030.98506493212,0.1155194283009889,0.3332311565410729,0.0802173395859605,367.312711638867,156.66054705968648,149.39873771050935,82.66131746040666,217.91397392835734,73.99922959927966,16.34770775380457,1.1004554151122243,0.67208349397319,29.019696072164727,3.2182171535317208,0.12011542073328993,0.17273197761846726,0.770666092936555,0.0941532588505935,0.00249617192098987,6.63409433514733,7.3167104120803,1.91907426439801,1607.0,1575.0,0.0856456437428883,0.0405734532417189,0.000981464509943329,0.0251320521834314,0.0414254893126655,0.0007232434409766231,0.678041625925409,0.9011243077955741,2.49144286466561,1.52908188145587,0.743408285248532,1.6619578909483501,0.32209136246393,0.283996465754008,0.28526519917009996,0.281891659013687,0.303816446226656,0.27774155883653195,41.5397839460559,46.9388691921044,62.8197289906769,0.0892445469997627,0.36381635164064796
4,34434.517489587306,1.3815303824573117,0.9060537529362607,1.014422210321462,26.889477803806795,78.68860179751873,24.635526773680812,115.58464525112218,65.74141594943399,0.371713936498502,0.37771095870285076,0.2522570196358078,0.5623994186748416,181.52930519660174,184.99329203831027,0.09951272334350618,3.346728049309223,1.7398422214228604,0.022830349107683154,0.015349252912355936,0.029419394763327267,0.040528960525954776,8.055742152154503,4.401980956973218,15.942320426853865,7.082221321787287,33478.988475240934,17839.775020300534,106185.70077502234,116753.84733813778,0.12679651126701133,0.286593730563071,0.08617967212183722,364.3433148620556,277.7970030314635,154.59269189824414,144.56258537714146,209.75062296381125,133.23441765432187,21.05707573780007,1.400696971215789,0.5717652752673187,27.602899371166313,4.474342811387579,0.11817278292243545,0.1884418713720466,0.0396133725544322,0.0541976267654232,0.00360229308361344,7.59348078225872,7.865069936401929,0.758998264457438,1610.0,1606.0,0.0305750305283273,0.0232645662050454,0.0028277539359950698,0.0393519858614852,0.0104912011690958,0.00342346984304925,0.255604296188763,1.1903272834837,1.05814154009418,0.789247519494001,0.9031542551456441,1.04319910929672,0.30773474478969604,0.30034794599942,0.303187000020709,0.296586914244442,0.293992266342746,0.298154171712501,42.4148278466807,39.1586529757805,38.5918093634397,0.166154303671012,0.34457550278019006
5,23727.901788713985,1.154229150823848,1.0040998518981021,0.9848393747519691,26.971927963830478,81.37583058707119,25.856851351992347,118.62757442803017,68.56616843555645,0.3605033137688581,0.3820882262120178,0.25954142158291366,0.5619118384578424,200.2577068655663,206.81389871541637,0.10467213727575535,3.3826601971279526,1.8631739328186685,0.02197541192736331,0.014572488677068078,0.029366551267125715,0.03568945271306194,8.234280291492848,4.481452850949393,14.919591926797112,6.28193517767729,33207.722176886724,17668.44832386849,103848.2610177535,108340.49161549451,0.1271814906710005,0.2696084528082603,0.08637434645466958,390.53453331216485,270.30190876454844,164.6450085697535,144.38630769866597,225.88952474241134,125.91560106588248,22.380655200627814,1.4577533163290262,0.5448038930572524,31.722678506288528,4.858203449757166,0.12608991688824686,0.20244816779261723,0.00202406576639654,0.189875274990508,0.00133635222689754,7.906174478478019,8.13501705436966,0.454411263722395,1607.0,1599.0,0.00585008856881794,0.0196767736953578,0.00292668553751136,0.00560513309459824,0.0307531864521106,0.00352236400284471,2.23441396508728,1.1205875589283703,0.801161988645408,2.67220963756178,0.659983074018619,0.9019789280806229,0.264123809255757,0.27674819253685495,0.270383787033939,0.27597170228011997,0.30520759471926,0.28277331914945003,41.7115772106681,40.6156363193342,43.7041720844979,0.15685110500697302,0.353314684016263
6,19763.75063648165,1.2756796464561488,0.9528684531522725,1.0425718344892376,26.187382323978763,69.66339230094017,22.887680331696423,113.70770464219572,65.70397289654515,0.38751196634160956,0.38940486329553164,0.2569229419936428,0.5518946639228003,172.43367339170797,187.78746940294383,0.090511199806895,3.266586185806959,1.7192937888832946,0.02372871078476069,0.016313733307913518,0.029779276757523752,0.043291290470404066,7.283691006501818,4.106234607865004,12.261263473927372,5.423084644495793,38889.07622645981,20527.90153018055,110328.56311667414,120702.1771459718,0.13888242704345027,0.29938059841624964,0.09207280961232613,304.23005855099717,224.42622729826397,130.38343319613406,117.28524855825042,173.8466253548628,107.14097874001354,18.135570032738897,1.4280659248680203,0.5520326600089197,26.3890273535296,4.288370547593781,0.13854719488692824,0.22051417437199863,0.00942297915729485,0.11589875110030802,0.10888210835539099,7.67840568528407,7.29110160475119,0.5949918808331031,1598.0,1570.0,0.0284576527953485,0.0139185790449121,0.00297292373906973,0.014931431280915002,0.024717033313712004,0.00352236400284471,1.57530868880754,0.9632873980700071,1.1284245968456499,1.41729272266474,1.3156912932193798,1.06881129271917,0.284959945825305,0.279660175194344,0.27137982499083196,0.29449774890957103,0.29649154980055603,0.291271776279961,62.208723534332506,40.195683943384296,43.7202299649782,0.147665534371552,0.29778148138449295
7,8707.023417664386,0.8892441368128176,0.6960115244502136,1.372158606139835,26.004399093810207,75.10344588782992,19.23796522204688,107.79096652093116,62.65589433570872,0.3684160048257003,0.34887840603394754,0.21635390613523767,0.5641990102513444,126.80571630623677,137.3118295028594,0.0673092675926311,3.3014085483176183,1.5108222885345777,0.023898912882289635,0.01700162306043061,0.026894768364590847,0.04804307585998405,7.089989860501047,4.087209041039148,9.942933055447766,5.548336557222675,38407.814515036574,20144.42687037586,115064.88883414313,134969.10727800452,0.1368570229218927,0.33358525259828004,0.09197276583859307,322.3414599658997,185.56826677446412,135.86872636845703,98.20194931927054,186.47273359744216,87.36631745519347,18.8259905711883,1.3665628568245265,0.5814656437663954,33.127198113712566,4.452022097139252,0.13501501908153132,0.21929227104901924,0.21342549012038398,0.0441528899267584,0.22190082482313397,7.67840568528407,8.09914058395873,1.6540093321920402,1606.0,1600.0,0.0719000234360934,0.0446869976334898,0.000407737765212725,0.014931431280915002,0.0412533570401262,0.0007393617309325,1.57530868880754,0.6855534405248879,2.11718284010094,1.41729272266474,0.715360784991557,1.6122060470324702,0.27125316714159103,0.29346094589257105,0.28726073691873605,0.23342093478861897,0.29649154980055603,0.286479879157787,70.70813488390459,49.019626831488,51.3441226508873,0.146530387764521,0.312766291055573
8,6954.605923571246,1.549914584755461,0.9794314497075656,0.9244240438450657,25.882460211772347,66.72500587555726,26.16193017122202,114.45900088609912,64.81120852116688,0.38770599989811083,0.37884756273483183,0.2659637651914568,0.5706892024906051,187.34142994094626,177.0847248884173,0.11408762114324753,3.233206943247355,1.65257068726796,0.02574714234673349,0.019160722783516024,0.028195170669528296,0.04454939241275905,6.981538749389325,4.108909505084429,15.37887337059109,6.485785159588149,41188.324814284846,21952.498510859332,97279.89498905535,110464.9364477861,0.13994501821993643,0.27811581054497464,0.09236633824433733,287.42456920317125,326.05243429386235,122.27172901830376,168.3395480339744,165.15284018486707,157.71288625988768,18.823836090020826,1.401356950100591,0.5616853558274815,28.6820835710945,4.380304014635405,0.14741306055203462,0.23758417008250915,0.0286425715640095,0.209245851391775,0.00676369785359021,8.62886455962803,8.65467986028672,0.5409762023715701,1606.0,1588.0,0.00374304141618945,0.00852380741714985,0.00456729640837555,0.0361070652676214,0.0157487335663437,0.00455340639491669,5.64118143459916,3.99439429928741,1.18206058276682,0.122627898012005,0.9469462065826529,1.0896627458083799,0.28586844301298703,0.278789635405359,0.32297161389959006,0.292036917022719,0.28666473974809803,0.300955144869145,49.6557695401315,53.2889122401832,56.5057476071669,0.19549827788192398,0.36805693319506305
9,10549.726839409872,1.3455569590781493,0.9216934887020523,1.1877707646544633,25.353545974864275,68.36174006921253,14.312259455415278,102.68070894440633,58.026322794343535,0.3702286471412375,0.3282122691316376,0.19281694996399773,0.6053552378169548,105.70886889858531,114.53391764539211,0.05587619168037742,3.222115103516863,1.2724663120047797,0.027559063205724398,0.020878720223463508,0.026042646772580714,0.05005905751840198,7.15613119415122,4.295249526319571,8.968638165628958,4.718766766593345,42167.236618229974,21982.768834433726,119193.55170558798,141926.77705520953,0.13563873176496102,0.3400064931984678,0.09110998748719128,310.1278215842376,146.45358587147678,123.82717509955877,79.08449712198791,186.3006464846787,67.36908874948882,14.611731626208856,1.0726579450508964,0.668134061938279,31.02549948533635,3.17795036604459,0.12152555152539786,0.19031290048378088,0.0031582120994752,0.7388812852567479,0.00126739669568141,7.14197375763141,6.94234676783809,0.449255676904478,1600.0,1552.0,0.00489467418158295,0.0102828251624528,0.0040620276078005,0.0115703864737865,0.0169118782969786,0.00431604737804112,1.33644301813568,1.06573492042263,0.8473032629558539,7.01337325349301,1.47343087652126,0.5531773987657049,0.284750322870716,0.28824286123683,0.28426396890119,0.289123973773299,0.29649856381529804,0.286352538422759,56.7508971799613,54.0149583148879,53.8003111344028,0.117087133862592,0.18997439909231498
